date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:19	4882/4882	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Apr%202015%2017:07:54%20GMT	https://demoxml.com/html/hotelbooking/img/news-two.jpg	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/news-two.jpg	(from https://demoxml.com/html/hotelbooking/)
16:09:19	6824/6824	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Apr%202015%2017:08:20%20GMT	https://demoxml.com/html/hotelbooking/img/news-three.jpg	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/news-three.jpg	(from https://demoxml.com/html/hotelbooking/)
16:09:19	30932/30932	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20May%202015%2021:02:36%20GMT	https://demoxml.com/html/hotelbooking/img/lightslider-img/cS-18.jpg	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/lightslider-img/cS-18.jpg	(from https://demoxml.com/html/hotelbooking/)
16:09:20	24599/24599	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20May%202015%2002:03:42%20GMT	https://demoxml.com/html/hotelbooking/img/lightslider-img/cS-21.jpg	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/lightslider-img/cS-21.jpg	(from https://demoxml.com/html/hotelbooking/)
16:09:20	98903/98903	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20May%202015%2002:06:24%20GMT	https://demoxml.com/html/hotelbooking/img/lightslider-img/cS-22.jpg	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/lightslider-img/cS-22.jpg	(from https://demoxml.com/html/hotelbooking/)
16:09:20	74395/74395	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20May%202015%2002:07:26%20GMT	https://demoxml.com/html/hotelbooking/img/lightslider-img/cS-23.jpg	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/lightslider-img/cS-23.jpg	(from https://demoxml.com/html/hotelbooking/)
16:09:20	112310/112310	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20May%202015%2002:07:40%20GMT	https://demoxml.com/html/hotelbooking/img/lightslider-img/cS-24.jpg	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/lightslider-img/cS-24.jpg	(from https://demoxml.com/html/hotelbooking/)
16:09:21	78990/78990	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20May%202015%2002:07:54%20GMT	https://demoxml.com/html/hotelbooking/img/lightslider-img/cS-25.jpg	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/lightslider-img/cS-25.jpg	(from https://demoxml.com/html/hotelbooking/)
16:09:21	88956/88956	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20May%202015%2002:08:04%20GMT	https://demoxml.com/html/hotelbooking/img/lightslider-img/cS-26.jpg	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/lightslider-img/cS-26.jpg	(from https://demoxml.com/html/hotelbooking/)
16:09:21	124577/124577	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20May%202015%2002:08:18%20GMT	https://demoxml.com/html/hotelbooking/img/lightslider-img/cS-27.jpg	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/lightslider-img/cS-27.jpg	(from https://demoxml.com/html/hotelbooking/)
16:09:21	8619/8619	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Apr%202015%2021:03:44%20GMT	https://demoxml.com/html/hotelbooking/img/customer-says-one.png	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/customer-says-one.png	(from https://demoxml.com/html/hotelbooking/)
16:09:22	3104/3104	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Apr%202015%2022:33:16%20GMT	https://demoxml.com/html/hotelbooking/img/footer-logo-one.png	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/footer-logo-one.png	(from https://demoxml.com/html/hotelbooking/)
16:09:22	16094/16094	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Apr%202015%2023:18:40%20GMT	https://demoxml.com/html/hotelbooking/img/footer-map-two.jpg	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/footer-map-two.jpg	(from https://demoxml.com/html/hotelbooking/)
16:09:22	95930/95930	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2026%20Dec%202014%2008:56:42%20GMT	https://demoxml.com/html/hotelbooking/js/vendor/jquery-1.11.2.min.js	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/js/vendor/jquery-1.11.2.min.js	(from https://demoxml.com/html/hotelbooking/)
16:09:22	35957/35957	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2027%20Apr%202015%2020:21:08%20GMT	https://demoxml.com/html/hotelbooking/js/bootstrap.min.js	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/js/bootstrap.min.js	(from https://demoxml.com/html/hotelbooking/)
16:09:23	64336/64336	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2024%20May%202015%2016:48:52%20GMT	https://demoxml.com/html/hotelbooking/js/rev-slider/rs-plugin/jquery.themepunch.plugins.min.js	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/js/rev-slider/rs-plugin/jquery.themepunch.plugins.min.js	(from https://demoxml.com/html/hotelbooking/)
16:09:23	141956/141956	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2024%20May%202015%2016:49:00%20GMT	https://demoxml.com/html/hotelbooking/js/rev-slider/rs-plugin/jquery.themepunch.revolution.js	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/js/rev-slider/rs-plugin/jquery.themepunch.revolution.js	(from https://demoxml.com/html/hotelbooking/)
16:09:23	1561/1561	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2025%20May%202015%2014:26:46%20GMT	https://demoxml.com/html/hotelbooking/js/rev-slider/rs.home.js	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/js/rev-slider/rs.home.js	(from https://demoxml.com/html/hotelbooking/)
16:09:23	44892/44892	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2017%20Apr%202015%2019:42:50%20GMT	https://demoxml.com/html/hotelbooking/js/uikit.min.js	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/js/uikit.min.js	(from https://demoxml.com/html/hotelbooking/)
16:09:24	7039/7039	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2027%20Apr%202015%2020:26:46%20GMT	https://demoxml.com/html/hotelbooking/js/jquery.easing.1.3.min.js	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/js/jquery.easing.1.3.min.js	(from https://demoxml.com/html/hotelbooking/)
16:09:24	4717/4717	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2029%20Apr%202015%2016:37:28%20GMT	https://demoxml.com/html/hotelbooking/js/datepicker.js	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/js/datepicker.js	(from https://demoxml.com/html/hotelbooking/)
16:09:24	2051/2051	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2027%20Apr%202015%2020:28:04%20GMT	https://demoxml.com/html/hotelbooking/js/jquery.scrollUp.min.js	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/js/jquery.scrollUp.min.js	(from https://demoxml.com/html/hotelbooking/)
16:09:24	40402/40402	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2027%20Apr%202015%2020:29:26%20GMT	https://demoxml.com/html/hotelbooking/js/owl.carousel.min.js	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/js/owl.carousel.min.js	(from https://demoxml.com/html/hotelbooking/)
16:09:25	7083/7083	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2027%20Apr%202015%2020:30:08%20GMT	https://demoxml.com/html/hotelbooking/js/wow.min.js	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/js/wow.min.js	(from https://demoxml.com/html/hotelbooking/)
16:09:25	45758/45758	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2014%20Apr%202015%2005:30:12%20GMT	https://demoxml.com/html/hotelbooking/js/lightslider.js	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/js/lightslider.js	(from https://demoxml.com/html/hotelbooking/)
16:09:25	1615/1615	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2006%20Jun%202015%2019:04:10%20GMT	https://demoxml.com/html/hotelbooking/js/main.js	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/js/main.js	(from https://demoxml.com/html/hotelbooking/)
16:09:26	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2025%20May%202015%2008:12:14%20GMT	https://demoxml.com/html/hotelbooking/fonts/fontawesome-webfont.eot?v=4.3.0	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/fonts/fontawesome-webfonte0a5.eot	(from https://demoxml.com/html/hotelbooking/css/font-awesome.css)
16:09:26	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2025%20May%202015%2008:12:14%20GMT	https://demoxml.com/html/hotelbooking/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/fonts/fontawesome-webfontd41d.eot	(from https://demoxml.com/html/hotelbooking/css/font-awesome.css)
16:09:26	56780/56780	---M--	200	added ('OK')	font/woff2	date:Mon,%2025%20May%202015%2008:12:18%20GMT	https://demoxml.com/html/hotelbooking/fonts/fontawesome-webfont.woff2?v=4.3.0	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/fonts/fontawesome-webfonte0a5.woff2	(from https://demoxml.com/html/hotelbooking/css/font-awesome.css)
16:09:27	71508/71508	---M--	200	added ('OK')	font/woff	date:Mon,%2025%20May%202015%2008:12:18%20GMT	https://demoxml.com/html/hotelbooking/fonts/fontawesome-webfont.woff?v=4.3.0	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/fonts/fontawesome-webfonte0a5.woff	(from https://demoxml.com/html/hotelbooking/css/font-awesome.css)
16:09:27	122092/122092	---M--	200	added ('OK')	font/ttf	date:Mon,%2025%20May%202015%2008:12:16%20GMT	https://demoxml.com/html/hotelbooking/fonts/fontawesome-webfont.ttf?v=4.3.0	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/fonts/fontawesome-webfonte0a5.ttf	(from https://demoxml.com/html/hotelbooking/css/font-awesome.css)
16:09:28	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2027%20Dec%202014%2007:08:50%20GMT	https://demoxml.com/html/hotelbooking/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/fonts/glyphicons-halflings-regular.eot	(from https://demoxml.com/html/hotelbooking/css/bootstrap.min.css)
16:09:29	313398/313398	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2025%20May%202015%2008:12:12%20GMT	https://demoxml.com/html/hotelbooking/fonts/fontawesome-webfont.svg?v=4.3.0	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/fonts/fontawesome-webfonte0a5.svg	(from https://demoxml.com/html/hotelbooking/css/font-awesome.css)
16:09:29	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2027%20Dec%202014%2007:08:50%20GMT	https://demoxml.com/html/hotelbooking/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/fonts/glyphicons-halflings-regulard41d.eot	(from https://demoxml.com/html/hotelbooking/css/bootstrap.min.css)
16:09:30	41866/41866	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Sep%202024%2009:09:32%20GMT	https://demoxml.com/html/hotelbooking/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/fonts/glyphicons-halflings-regular.woff2	(from https://demoxml.com/html/hotelbooking/css/bootstrap.min.css)
